
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
3/21,6.546,6.365,7.113,7.867,6.831,6.528,5.680,NA,7.384,5.401,6.513,6.496,5.761,6.907,7.215,7.625,5.520,6.609,6.666,6.584,7.938,6.329,7.033,NA,7.222,4.444
3/22,6.628,6.643,7.141,8.051,6.817,6.532,5.691,NA,7.499,5.530,6.410,6.826,5.783,6.937,7.372,7.786,5.314,6.840,6.870,6.655,8.063,6.304,7.179,NA,7.204,5.000
3/23,6.537,6.795,7.200,8.228,6.925,6.572,5.899,NA,7.625,5.609,6.467,7.359,5.930,6.951,7.793,7.863,5.594,7.031,6.980,6.764,8.163,6.537,7.283,6.200,7.208,6.111
3/24,6.477,6.891,7.309,8.282,7.026,6.606,6.124,NA,7.748,5.740,6.538,7.525,6.093,7.166,8.168,7.920,5.805,7.148,7.104,6.936,8.200,6.838,7.354,7.380,7.315,5.556
3/25,6.545,6.779,7.431,8.436,7.202,6.572,6.257,NA,7.892,5.798,6.693,7.534,6.262,7.351,8.170,8.030,6.112,7.322,7.110,7.051,8.292,7.063,7.275,7.437,7.409,5.556
3/26,6.775,6.620,7.619,8.581,7.213,6.773,6.340,NA,7.865,5.919,6.802,7.398,6.360,7.373,8.108,8.044,6.293,7.469,7.172,6.954,8.442,7.275,7.379,7.646,7.555,5.556
3/27,6.884,6.665,7.764,8.749,7.186,6.938,6.404,NA,7.968,6.076,6.747,7.325,6.544,7.407,8.077,8.145,6.367,7.479,7.314,6.938,8.508,7.464,7.404,7.804,7.894,6.380
3/28,7.078,6.825,7.813,8.988,7.080,7.163,6.331,6.308,8.070,6.200,6.664,7.412,6.816,7.399,8.216,8.355,6.499,7.493,7.281,7.227,8.483,7.538,7.371,7.938,8.113,6.529
3/29,7.218,6.807,8.014,9.020,7.045,7.476,6.411,6.419,8.045,6.293,6.486,7.495,6.958,7.387,8.521,8.473,6.598,7.678,7.380,7.371,8.354,7.604,7.321,8.058,8.406,6.712
3/30,7.375,6.925,8.196,9.105,7.015,7.821,6.363,6.697,7.858,6.358,6.447,7.533,7.298,7.347,8.689,8.672,6.750,7.721,7.589,7.478,8.333,7.675,7.404,8.233,8.500,6.796
3/31,7.484,7.188,8.476,9.125,7.023,8.122,6.423,7.045,7.810,6.441,6.558,7.545,7.660,7.470,8.648,8.909,6.933,7.886,7.809,7.574,8.425,7.667,7.358,8.333,8.587,6.835
4/1,7.537,7.298,8.783,9.062,6.995,8.252,6.517,7.225,7.943,6.440,6.703,7.285,7.865,7.611,8.800,8.878,7.022,8.155,8.065,7.599,8.527,7.588,7.421,8.350,8.672,7.123
4/2,7.376,7.382,8.983,9.057,7.066,8.555,6.804,7.350,7.948,6.530,6.872,7.150,8.015,7.558,8.919,8.764,6.968,8.164,8.389,7.627,8.373,7.621,7.529,8.443,8.844,7.171
4/3,7.412,7.450,9.237,8.953,7.296,8.892,6.934,7.478,7.739,6.587,7.014,7.169,8.130,7.629,9.083,8.555,7.025,8.105,8.649,7.613,8.363,7.526,7.771,8.667,8.900,7.363
4/4,7.516,7.584,9.393,9.041,7.353,8.898,7.030,7.608,7.708,6.781,7.054,7.445,8.129,7.710,9.303,8.575,7.202,8.154,8.834,7.561,8.374,7.488,7.892,8.717,8.775,7.596
4/5,7.642,7.853,9.331,9.163,7.572,8.842,6.945,7.806,7.830,7.002,7.008,7.737,8.395,7.769,9.480,8.649,7.305,8.290,8.669,7.497,8.470,7.575,8.004,8.529,8.750,7.763
4/6,7.806,8.062,9.536,9.315,7.795,8.977,6.999,7.943,8.048,7.165,7.078,7.969,8.497,7.938,9.650,8.613,7.414,8.308,8.736,7.615,8.729,7.635,8.204,8.654,8.758,7.917
4/7,8.031,8.297,9.738,9.458,7.987,8.964,7.016,7.924,8.218,7.370,7.176,8.091,8.459,8.064,9.865,8.705,7.664,8.295,8.777,7.711,8.759,7.825,8.600,8.642,8.833,8.196
4/8,8.003,8.320,10.068,9.583,8.380,9.044,7.202,8.005,8.361,7.578,7.222,8.207,8.531,8.071,9.984,8.790,7.922,8.314,9.004,7.680,8.725,8.029,8.983,8.746,8.900,8.500
4/9,8.087,8.330,10.376,9.748,8.748,9.353,7.520,8.104,8.442,7.742,7.321,8.263,8.714,8.120,10.147,9.059,8.259,8.404,9.275,7.563,8.866,8.008,9.258,8.825,9.050,8.667
4/10,8.086,8.403,10.631,9.866,8.798,9.423,7.749,8.038,8.529,7.822,7.357,8.230,8.718,8.247,10.317,9.295,8.405,8.375,9.499,7.587,8.991,8.092,9.358,9.021,9.243,8.838
4/11,8.107,8.451,10.738,9.820,8.891,9.497,7.930,7.933,8.669,7.843,7.493,8.370,8.665,8.411,10.380,9.427,8.577,8.380,9.843,7.740,9.091,8.200,9.288,9.171,9.778,8.813
4/12,8.095,8.415,10.883,9.808,9.190,9.600,7.966,7.975,8.983,7.979,7.801,8.344,8.698,8.507,10.596,9.539,8.800,8.445,10.070,8.120,9.228,8.371,9.254,9.333,9.955,8.985
4/13,8.143,8.384,11.139,9.831,9.463,9.479,8.030,8.064,9.133,8.078,8.079,8.476,8.832,8.657,10.884,9.718,9.178,8.415,10.323,8.338,9.204,8.658,9.521,9.283,10.025,9.133
4/14,8.308,8.437,11.155,9.698,9.555,9.420,8.232,7.970,9.238,8.003,8.223,8.750,8.916,8.845,11.035,9.856,9.521,8.356,10.177,8.420,8.997,8.796,9.742,9.292,9.993,9.250
